GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US01001,01001,"Autauga County, Alabama",55036,*****
0500000US01003,01003,"Baldwin County, Alabama",203360,*****
0500000US01005,01005,"Barbour County, Alabama",26201,*****
0500000US01007,01007,"Bibb County, Alabama",22580,*****
0500000US01009,01009,"Blount County, Alabama",57667,*****
0500000US01011,01011,"Bullock County, Alabama",10478,*****
0500000US01013,01013,"Butler County, Alabama",20126,*****
0500000US01015,01015,"Calhoun County, Alabama",115527,*****
0500000US01017,01017,"Chambers County, Alabama",33895,*****
0500000US01019,01019,"Cherokee County, Alabama",25855,*****
0500000US01021,01021,"Chilton County, Alabama",43805,*****
0500000US01023,01023,"Choctaw County, Alabama",13188,*****
0500000US01025,01025,"Clarke County, Alabama",24625,*****
0500000US01027,01027,"Clay County, Alabama",13407,*****
0500000US01029,01029,"Cleburne County, Alabama",14939,*****
0500000US01031,01031,"Coffee County, Alabama",51073,*****
0500000US01033,01033,"Colbert County, Alabama",54435,*****
0500000US01035,01035,"Conecuh County, Alabama",12649,*****
0500000US01037,01037,"Coosa County, Alabama",10955,*****
0500000US01039,01039,"Covington County, Alabama",37519,*****
0500000US01041,01041,"Crenshaw County, Alabama",13866,*****
0500000US01043,01043,"Cullman County, Alabama",81703,*****
0500000US01045,01045,"Dale County, Alabama",49393,*****
0500000US01047,01047,"Dallas County, Alabama",40755,*****
0500000US01049,01049,"DeKalb County, Alabama",71194,*****
0500000US01051,01051,"Elmore County, Alabama",80989,*****
0500000US01053,01053,"Escambia County, Alabama",37621,*****
0500000US01055,01055,"Etowah County, Alabama",103132,*****
0500000US01057,01057,"Fayette County, Alabama",16657,*****
0500000US01059,01059,"Franklin County, Alabama",31507,*****
0500000US01061,01061,"Geneva County, Alabama",26572,*****
0500000US01063,01063,"Greene County, Alabama",8533,*****
0500000US01065,01065,"Hale County, Alabama",14995,*****
0500000US01067,01067,"Henry County, Alabama",17110,*****
0500000US01069,01069,"Houston County, Alabama",104108,*****
0500000US01071,01071,"Jackson County, Alabama",52326,*****
0500000US01073,01073,"Jefferson County, Alabama",659460,*****
0500000US01075,01075,"Lamar County, Alabama",14021,*****
0500000US01077,01077,"Lauderdale County, Alabama",92590,*****
0500000US01079,01079,"Lawrence County, Alabama",33288,*****
0500000US01081,01081,"Lee County, Alabama",156597,*****
0500000US01083,01083,"Limestone County, Alabama",91695,*****
0500000US01085,01085,"Lowndes County, Alabama",10362,*****
0500000US01087,01087,"Macon County, Alabama",19358,*****
0500000US01089,01089,"Madison County, Alabama",353213,*****
0500000US01091,01091,"Marengo County, Alabama",19743,*****
0500000US01093,01093,"Marion County, Alabama",30058,*****
0500000US01095,01095,"Marshall County, Alabama",94738,*****
0500000US01097,01097,"Mobile County, Alabama",414328,*****
0500000US01099,01099,"Monroe County, Alabama",21745,*****
0500000US01101,01101,"Montgomery County, Alabama",227120,*****
0500000US01103,01103,"Morgan County, Alabama",119157,*****
0500000US01105,01105,"Perry County, Alabama",9680,*****
0500000US01107,01107,"Pickens County, Alabama",20170,*****
0500000US01109,01109,"Pike County, Alabama",33287,*****
0500000US01111,01111,"Randolph County, Alabama",22530,*****
0500000US01113,01113,"Russell County, Alabama",58480,*****
0500000US01115,01115,"St. Clair County, Alabama",86937,*****
0500000US01117,01117,"Shelby County, Alabama",208721,*****
0500000US01119,01119,"Sumter County, Alabama",13084,*****
0500000US01121,01121,"Talladega County, Alabama",80888,*****
0500000US01123,01123,"Tallapoosa County, Alabama",40756,*****
0500000US01125,01125,"Tuscaloosa County, Alabama",204424,*****
0500000US01127,01127,"Walker County, Alabama",64927,*****
0500000US01129,01129,"Washington County, Alabama",16746,*****
0500000US01131,01131,"Wilcox County, Alabama",10919,*****
0500000US01133,01133,"Winston County, Alabama",23968,*****
0500000US02013,02013,"Aleutians East Borough, Alaska",3338,*****
0500000US02016,02016,"Aleutians West Census Area, Alaska",5784,*****
0500000US02020,02020,"Anchorage Municipality, Alaska",298225,*****
0500000US02050,02050,"Bethel Census Area, Alaska",17957,*****
0500000US02060,02060,"Bristol Bay Borough, Alaska",917,74
0500000US02068,02068,"Denali Borough, Alaska",2303,308
0500000US02070,02070,"Dillingham Census Area, Alaska",4974,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",100031,*****
0500000US02100,02100,"Haines Borough, Alaska",2537,*****
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2146,*****
0500000US02110,02110,"Juneau City and Borough, Alaska",32434,*****
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",57961,*****
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13745,*****
0500000US02150,02150,"Kodiak Island Borough, Alaska",13773,*****
0500000US02158,02158,"Kusilvak Census Area, Alaska",8129,*****
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1301,308
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",101135,*****
0500000US02180,02180,"Nome Census Area, Alaska",9869,*****
0500000US02185,02185,"North Slope Borough, Alaska",9757,*****
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7715,*****
0500000US02195,02195,"Petersburg Borough, Alaska",3275,*****
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",6473,*****
0500000US02220,02220,"Sitka City and Borough, Alaska",8810,*****
0500000US02230,02230,"Skagway Municipality, Alaska",1038,86
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",6889,*****
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",9439,*****
0500000US02275,02275,"Wrangell City and Borough, Alaska",2475,*****
0500000US02282,02282,"Yakutat City and Borough, Alaska",682,71
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5453,*****
0500000US04001,04001,"Apache County, Arizona",71602,*****
0500000US04003,04003,"Cochise County, Arizona",126516,*****
0500000US04005,04005,"Coconino County, Arizona",138639,*****
0500000US04007,04007,"Gila County, Arizona",53145,*****
0500000US04009,04009,"Graham County, Arizona",37700,*****
0500000US04011,04011,"Greenlee County, Arizona",9368,*****
0500000US04012,04012,"La Paz County, Arizona",20477,*****
0500000US04013,04013,"Maricopa County, Arizona",4155501,*****
0500000US04015,04015,"Mohave County, Arizona",204691,*****
0500000US04017,04017,"Navajo County, Arizona",107902,*****
0500000US04019,04019,"Pima County, Arizona",1007257,*****
0500000US04021,04021,"Pinal County, Arizona",405537,*****
0500000US04023,04023,"Santa Cruz County, Arizona",46358,*****
0500000US04025,04025,"Yavapai County, Arizona",220972,*****
0500000US04027,04027,"Yuma County, Arizona",204281,*****
0500000US05001,05001,"Arkansas County, Arkansas",18352,*****
0500000US05003,05003,"Ashley County, Arkansas",20771,*****
0500000US05005,05005,"Baxter County, Arkansas",41093,*****
0500000US05007,05007,"Benton County, Arkansas",251823,*****
0500000US05009,05009,"Boone County, Arkansas",37212,*****
0500000US05011,05011,"Bradley County, Arkansas",10994,*****
0500000US05013,05013,"Calhoun County, Arkansas",5194,*****
0500000US05015,05015,"Carroll County, Arkansas",27782,*****
0500000US05017,05017,"Chicot County, Arkansas",11008,*****
0500000US05019,05019,"Clark County, Arkansas",22495,*****
0500000US05021,05021,"Clay County, Arkansas",15190,*****
0500000US05023,05023,"Cleburne County, Arkansas",25361,*****
0500000US05025,05025,"Cleveland County, Arkansas",8332,*****
0500000US05027,05027,"Columbia County, Arkansas",23992,*****
0500000US05029,05029,"Conway County, Arkansas",20954,*****
0500000US05031,05031,"Craighead County, Arkansas",104246,*****
0500000US05033,05033,"Crawford County, Arkansas",62119,*****
0500000US05035,05035,"Crittenden County, Arkansas",49278,*****
0500000US05037,05037,"Cross County, Arkansas",17164,*****
0500000US05039,05039,"Dallas County, Arkansas",7585,*****
0500000US05041,05041,"Desha County, Arkansas",12094,*****
0500000US05043,05043,"Drew County, Arkansas",18620,*****
0500000US05045,05045,"Faulkner County, Arkansas",121282,*****
0500000US05047,05047,"Franklin County, Arkansas",17803,*****
0500000US05049,05049,"Fulton County, Arkansas",12092,*****
0500000US05051,05051,"Garland County, Arkansas",97994,*****
0500000US05053,05053,"Grant County, Arkansas",18076,*****
0500000US05055,05055,"Greene County, Arkansas",44197,*****
0500000US05057,05057,"Hempstead County, Arkansas",22154,*****
0500000US05059,05059,"Hot Spring County, Arkansas",33480,*****
0500000US05061,05061,"Howard County, Arkansas",13472,*****
0500000US05063,05063,"Independence County, Arkansas",37097,*****
0500000US05065,05065,"Izard County, Arkansas",13521,*****
0500000US05067,05067,"Jackson County, Arkansas",17429,*****
0500000US05069,05069,"Jefferson County, Arkansas",71373,*****
0500000US05071,05071,"Johnson County, Arkansas",26155,*****
0500000US05073,05073,"Lafayette County, Arkansas",7051,*****
0500000US05075,05075,"Lawrence County, Arkansas",16777,*****
0500000US05077,05077,"Lee County, Arkansas",9614,*****
0500000US05079,05079,"Lincoln County, Arkansas",13885,*****
0500000US05081,05081,"Little River County, Arkansas",12494,*****
0500000US05083,05083,"Logan County, Arkansas",21802,*****
0500000US05085,05085,"Lonoke County, Arkansas",71568,*****
0500000US05087,05087,"Madison County, Arkansas",15907,*****
0500000US05089,05089,"Marion County, Arkansas",16374,*****
0500000US05091,05091,"Miller County, Arkansas",43760,*****
0500000US05093,05093,"Mississippi County, Arkansas",43534,*****
0500000US05095,05095,"Monroe County, Arkansas",7420,*****
0500000US05097,05097,"Montgomery County, Arkansas",9059,*****
0500000US05099,05099,"Nevada County, Arkansas",8528,*****
0500000US05101,05101,"Newton County, Arkansas",7898,*****
0500000US05103,05103,"Ouachita County, Arkansas",24378,*****
0500000US05105,05105,"Perry County, Arkansas",10320,*****
0500000US05107,05107,"Phillips County, Arkansas",19518,*****
0500000US05109,05109,"Pike County, Arkansas",10893,*****
0500000US05111,05111,"Poinsett County, Arkansas",24098,*****
0500000US05113,05113,"Polk County, Arkansas",20212,*****
0500000US05115,05115,"Pope County, Arkansas",63372,*****
0500000US05117,05117,"Prairie County, Arkansas",8309,*****
0500000US05119,05119,"Pulaski County, Arkansas",392848,*****
0500000US05121,05121,"Randolph County, Arkansas",17514,*****
0500000US05123,05123,"St. Francis County, Arkansas",26688,*****
0500000US05125,05125,"Saline County, Arkansas",116252,*****
0500000US05127,05127,"Scott County, Arkansas",10584,*****
0500000US05129,05129,"Searcy County, Arkansas",7925,*****
0500000US05131,05131,"Sebastian County, Arkansas",127362,*****
0500000US05133,05133,"Sevier County, Arkansas",17206,*****
0500000US05135,05135,"Sharp County, Arkansas",17041,*****
0500000US05137,05137,"Stone County, Arkansas",12443,*****
0500000US05139,05139,"Union County, Arkansas",40022,*****
0500000US05141,05141,"Van Buren County, Arkansas",16751,*****
0500000US05143,05143,"Washington County, Arkansas",223683,*****
0500000US05145,05145,"White County, Arkansas",78706,*****
0500000US05147,05147,"Woodruff County, Arkansas",6763,*****
0500000US05149,05149,"Yell County, Arkansas",21601,*****
0500000US06001,06001,"Alameda County, California",1629615,*****
0500000US06003,06003,"Alpine County, California",1203,179
0500000US06005,06005,"Amador County, California",37306,*****
0500000US06007,06007,"Butte County, California",225207,*****
0500000US06009,06009,"Calaveras County, California",45057,*****
0500000US06011,06011,"Colusa County, California",21479,*****
0500000US06013,06013,"Contra Costa County, California",1123678,*****
0500000US06015,06015,"Del Norte County, California",27442,*****
0500000US06017,06017,"El Dorado County, California",185015,*****
0500000US06019,06019,"Fresno County, California",971616,*****
0500000US06021,06021,"Glenn County, California",27935,*****
0500000US06023,06023,"Humboldt County, California",135490,*****
0500000US06025,06025,"Imperial County, California",179957,*****
0500000US06027,06027,"Inyo County, California",18195,*****
0500000US06029,06029,"Kern County, California",878744,*****
0500000US06031,06031,"Kings County, California",150183,*****
0500000US06033,06033,"Lake County, California",64095,*****
0500000US06035,06035,"Lassen County, California",31470,*****
0500000US06037,06037,"Los Angeles County, California",10105722,*****
0500000US06039,06039,"Madera County, California",154440,*****
0500000US06041,06041,"Marin County, California",260814,*****
0500000US06043,06043,"Mariposa County, California",17658,*****
0500000US06045,06045,"Mendocino County, California",87497,*****
0500000US06047,06047,"Merced County, California",267390,*****
0500000US06049,06049,"Modoc County, California",9017,*****
0500000US06051,06051,"Mono County, California",14058,*****
0500000US06053,06053,"Monterey County, California",433168,*****
0500000US06055,06055,"Napa County, California",141005,*****
0500000US06057,06057,"Nevada County, California",98838,*****
0500000US06059,06059,"Orange County, California",3155816,*****
0500000US06061,06061,"Placer County, California",374985,*****
0500000US06063,06063,"Plumas County, California",18724,*****
0500000US06065,06065,"Riverside County, California",2355002,*****
0500000US06067,06067,"Sacramento County, California",1495400,*****
0500000US06069,06069,"San Benito County, California",58671,*****
0500000US06071,06071,"San Bernardino County, California",2121220,*****
0500000US06073,06073,"San Diego County, California",3283665,*****
0500000US06075,06075,"San Francisco County, California",864263,*****
0500000US06077,06077,"San Joaquin County, California",724153,*****
0500000US06079,06079,"San Luis Obispo County, California",280119,*****
0500000US06081,06081,"San Mateo County, California",763450,*****
0500000US06083,06083,"Santa Barbara County, California",442996,*****
0500000US06085,06085,"Santa Clara County, California",1911226,*****
0500000US06087,06087,"Santa Cruz County, California",273263,*****
0500000US06089,06089,"Shasta County, California",178919,*****
0500000US06091,06091,"Sierra County, California",2885,179
0500000US06093,06093,"Siskiyou County, California",43530,*****
0500000US06095,06095,"Solano County, California",434981,*****
0500000US06097,06097,"Sonoma County, California",500943,*****
0500000US06099,06099,"Stanislaus County, California",535684,*****
0500000US06101,06101,"Sutter County, California",95583,*****
0500000US06103,06103,"Tehama County, California",63247,*****
0500000US06105,06105,"Trinity County, California",13037,*****
0500000US06107,06107,"Tulare County, California",458809,*****
0500000US06109,06109,"Tuolumne County, California",53899,*****
0500000US06111,06111,"Ventura County, California",847834,*****
0500000US06113,06113,"Yolo County, California",212605,*****
0500000US06115,06115,"Yuba County, California",74644,*****
0500000US08001,08001,"Adams County, Colorado",487850,*****
0500000US08003,08003,"Alamosa County, Colorado",16345,*****
0500000US08005,08005,"Arapahoe County, Colorado",626612,*****
0500000US08007,08007,"Archuleta County, Colorado",12592,*****
0500000US08009,08009,"Baca County, Colorado",3581,*****
0500000US08011,08011,"Bent County, Colorado",5806,*****
0500000US08013,08013,"Boulder County, Colorado",316782,*****
0500000US08014,08014,"Broomfield County, Colorado",64283,*****
0500000US08015,08015,"Chaffee County, Colorado",18818,*****
0500000US08017,08017,"Cheyenne County, Colorado",2127,165
0500000US08019,08019,"Clear Creek County, Colorado",9257,*****
0500000US08021,08021,"Conejos County, Colorado",8147,*****
0500000US08023,08023,"Costilla County, Colorado",3628,*****
0500000US08025,08025,"Crowley County, Colorado",5514,*****
0500000US08027,08027,"Custer County, Colorado",4505,*****
0500000US08029,08029,"Delta County, Colorado",30217,*****
0500000US08031,08031,"Denver County, Colorado",678467,*****
0500000US08033,08033,"Dolores County, Colorado",1736,165
0500000US08035,08035,"Douglas County, Colorado",320940,*****
0500000US08037,08037,"Eagle County, Colorado",53726,*****
0500000US08039,08039,"Elbert County, Colorado",24553,*****
0500000US08041,08041,"El Paso County, Colorado",674826,*****
0500000US08043,08043,"Fremont County, Colorado",46601,*****
0500000US08045,08045,"Garfield County, Colorado",57945,*****
0500000US08047,08047,"Gilpin County, Colorado",5793,*****
0500000US08049,08049,"Grand County, Colorado",14793,*****
0500000US08051,08051,"Gunnison County, Colorado",16215,*****
0500000US08053,08053,"Hinsdale County, Colorado",820,97
0500000US08055,08055,"Huerfano County, Colorado",6498,*****
0500000US08057,08057,"Jackson County, Colorado",1372,119
0500000US08059,08059,"Jefferson County, Colorado",564029,*****
0500000US08061,08061,"Kiowa County, Colorado",1368,120
0500000US08063,08063,"Kit Carson County, Colorado",7846,*****
0500000US08065,08065,"Lake County, Colorado",7481,*****
0500000US08067,08067,"La Plata County, Colorado",54469,*****
0500000US08069,08069,"Larimer County, Colorado",330976,*****
0500000US08071,08071,"Las Animas County, Colorado",14151,*****
0500000US08073,08073,"Lincoln County, Colorado",5520,*****
0500000US08075,08075,"Logan County, Colorado",21885,*****
0500000US08077,08077,"Mesa County, Colorado",148798,*****
0500000US08079,08079,"Mineral County, Colorado",834,117
0500000US08081,08081,"Moffat County, Colorado",13056,*****
0500000US08083,08083,"Montezuma County, Colorado",25770,*****
0500000US08085,08085,"Montrose County, Colorado",40908,*****
0500000US08087,08087,"Morgan County, Colorado",28123,*****
0500000US08089,08089,"Otero County, Colorado",18325,*****
0500000US08091,08091,"Ouray County, Colorado",4653,*****
0500000US08093,08093,"Park County, Colorado",16900,*****
0500000US08095,08095,"Phillips County, Colorado",4327,*****
0500000US08097,08097,"Pitkin County, Colorado",17747,*****
0500000US08099,08099,"Prowers County, Colorado",12084,*****
0500000US08101,08101,"Pueblo County, Colorado",163368,*****
0500000US08103,08103,"Rio Blanco County, Colorado",6557,*****
0500000US08105,08105,"Rio Grande County, Colorado",11430,*****
0500000US08107,08107,"Routt County, Colorado",24359,*****
0500000US08109,08109,"Saguache County, Colorado",6338,*****
0500000US08111,08111,"San Juan County, Colorado",569,83
0500000US08113,08113,"San Miguel County, Colorado",7804,*****
0500000US08115,08115,"Sedgwick County, Colorado",2357,*****
0500000US08117,08117,"Summit County, Colorado",29722,*****
0500000US08119,08119,"Teller County, Colorado",23769,*****
0500000US08121,08121,"Washington County, Colorado",4809,*****
0500000US08123,08123,"Weld County, Colorado",285729,*****
0500000US08125,08125,"Yuma County, Colorado",10109,*****
0500000US09001,09001,"Fairfield County, Connecticut",947328,*****
0500000US09003,09003,"Hartford County, Connecticut",897417,*****
0500000US09005,09005,"Litchfield County, Connecticut",184454,*****
0500000US09007,09007,"Middlesex County, Connecticut",164110,*****
0500000US09009,09009,"New Haven County, Connecticut",862127,*****
0500000US09011,09011,"New London County, Connecticut",270772,*****
0500000US09013,09013,"Tolland County, Connecticut",151596,*****
0500000US09015,09015,"Windham County, Connecticut",116674,*****
0500000US10001,10001,"Kent County, Delaware",173145,*****
