GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,4850771,*****
0400000US02,02,Alaska,738565,*****
0400000US04,04,Arizona,6809946,*****
0400000US05,05,Arkansas,2977944,*****
0400000US06,06,California,38982847,*****
0400000US08,08,Colorado,5436519,*****
0400000US09,09,Connecticut,3594478,*****
0400000US10,10,Delaware,943732,*****
0400000US11,11,District of Columbia,672391,*****
0400000US12,12,Florida,20278447,*****
0400000US13,13,Georgia,10201635,*****
0400000US15,15,Hawaii,1421658,*****
0400000US16,16,Idaho,1657375,*****
0400000US17,17,Illinois,12854526,*****
0400000US18,18,Indiana,6614418,*****
0400000US19,19,Iowa,3118102,*****
0400000US20,20,Kansas,2903820,*****
0400000US21,21,Kentucky,4424376,*****
0400000US22,22,Louisiana,4663461,*****
0400000US23,23,Maine,1330158,*****
0400000US24,24,Maryland,5996079,*****
0400000US25,25,Massachusetts,6789319,*****
0400000US26,26,Michigan,9925568,*****
0400000US27,27,Minnesota,5490726,*****
0400000US28,28,Mississippi,2986220,*****
0400000US29,29,Missouri,6075300,*****
0400000US30,30,Montana,1029862,*****
0400000US31,31,Nebraska,1893921,*****
0400000US32,32,Nevada,2887725,*****
0400000US33,33,New Hampshire,1331848,*****
0400000US34,34,New Jersey,8960161,*****
0400000US35,35,New Mexico,2084828,*****
0400000US36,36,New York,19798228,*****
0400000US37,37,North Carolina,10052564,*****
0400000US38,38,North Dakota,745475,*****
0400000US39,39,Ohio,11609756,*****
0400000US40,40,Oklahoma,3896251,*****
0400000US41,41,Oregon,4025127,*****
0400000US42,42,Pennsylvania,12790505,*****
0400000US44,44,Rhode Island,1056138,*****
0400000US45,45,South Carolina,4893444,*****
0400000US46,46,South Dakota,855444,*****
0400000US47,47,Tennessee,6597381,*****
0400000US48,48,Texas,27419612,*****
0400000US49,49,Utah,2993941,*****
0400000US50,50,Vermont,624636,*****
0400000US51,51,Virginia,8365952,*****
0400000US53,53,Washington,7169967,*****
0400000US54,54,West Virginia,1836843,*****
0400000US55,55,Wisconsin,5763217,*****
0400000US56,56,Wyoming,583200,*****
0400000US72,72,Puerto Rico,3468963,*****
