candidate_x,candidate_y,count
Elizabeth Warren,Kamala Harris,61792
Bernie Sanders,Elizabeth Warren,60749
Elizabeth Warren,Pete Buttigieg,53802
Kamala Harris,Pete Buttigieg,45085
Bernie Sanders,Tulsi Gabbard,31068
Elizabeth Warren,Julián Castro,28104
Beto O'Rourke,Pete Buttigieg,25380
Julián Castro,Kamala Harris,24258
Joe Biden,Kamala Harris,22931
Bernie Sanders,Mike Gravel,22796
Cory Booker,Kamala Harris,22367
Bernie Sanders,Pete Buttigieg,22281
Cory Booker,Elizabeth Warren,21811
Julián Castro,Pete Buttigieg,21173
Joe Biden,Pete Buttigieg,20770
Elizabeth Warren,Kirsten Gillibrand,20165
Bernie Sanders,Kamala Harris,19546
Elizabeth Warren,Jay Inslee,19122
Beto O'Rourke,Kamala Harris,18487
Beto O'Rourke,Elizabeth Warren,18185
Elizabeth Warren,Joe Biden,18135
Cory Booker,Pete Buttigieg,16528
Kamala Harris,Kirsten Gillibrand,15900
Cory Booker,Julián Castro,15792
Amy Klobuchar,Kamala Harris,15737
Amy Klobuchar,Elizabeth Warren,15033
Amy Klobuchar,Pete Buttigieg,14463
Beto O'Rourke,Joe Biden,13399
Andrew Yang,Bernie Sanders,12976
Jay Inslee,Pete Buttigieg,11405
Bernie Sanders,Beto O'Rourke,11333
Bernie Sanders,Jay Inslee,10981
Kirsten Gillibrand,Pete Buttigieg,10922
Jay Inslee,Kamala Harris,10909
Beto O'Rourke,Julián Castro,10619
Cory Booker,Joe Biden,10386
Joe Biden,Julián Castro,10129
Julián Castro,Kirsten Gillibrand,9670
Bernie Sanders,Julián Castro,9539
Amy Klobuchar,Julián Castro,9402
Mike Gravel,Tulsi Gabbard,9215
Cory Booker,Kirsten Gillibrand,9179
Bernie Sanders,Marianne Williamson,9170
Jay Inslee,Julián Castro,8985
Amy Klobuchar,Joe Biden,8931
Bernie Sanders,Joe Biden,8795
Bernie Sanders,Cory Booker,8599
Amy Klobuchar,Cory Booker,8364
Amy Klobuchar,Kirsten Gillibrand,7337
Beto O'Rourke,Cory Booker,7291
Andrew Yang,Tulsi Gabbard,7257
Cory Booker,Jay Inslee,6968
Bernie Sanders,Kirsten Gillibrand,6642
Andrew Yang,Elizabeth Warren,6451
Andrew Yang,Pete Buttigieg,6311
Elizabeth Warren,Tulsi Gabbard,6087
Elizabeth Warren,Marianne Williamson,5842
Jay Inslee,Kirsten Gillibrand,5812
Elizabeth Warren,Eric Swalwell,5723
Joe Biden,Kirsten Gillibrand,5542
Michael Bennet,Pete Buttigieg,5477
Amy Klobuchar,Jay Inslee,5426
Elizabeth Warren,Mike Gravel,5379
Elizabeth Warren,Michael Bennet,5338
Amy Klobuchar,Beto O'Rourke,5323
Eric Swalwell,Pete Buttigieg,5225
Eric Swalwell,Kamala Harris,5124
Jay Inslee,Joe Biden,5022
Kamala Harris,Michael Bennet,4688
Beto O'Rourke,Kirsten Gillibrand,4494
Eric Swalwell,Julián Castro,4454
Julián Castro,Michael Bennet,4408
Beto O'Rourke,Jay Inslee,4364
Amy Klobuchar,Bernie Sanders,4176
Joe Biden,Michael Bennet,4043
Cory Booker,Michael Bennet,3764
Amy Klobuchar,Michael Bennet,3662
Eric Swalwell,Joe Biden,3623
Marianne Williamson,Tulsi Gabbard,3618
Cory Booker,Eric Swalwell,3614
Marianne Williamson,Pete Buttigieg,3574
Kamala Harris,Marianne Williamson,3528
Pete Buttigieg,Tulsi Gabbard,3466
Jay Inslee,Michael Bennet,3365
Andrew Yang,Kamala Harris,2996
Pete Buttigieg,Steve Bullock,2969
Andrew Yang,Mike Gravel,2906
Elizabeth Warren,Steve Bullock,2857
Kirsten Gillibrand,Michael Bennet,2679
Amy Klobuchar,Eric Swalwell,2635
Andrew Yang,Marianne Williamson,2596
Beto O'Rourke,Eric Swalwell,2587
Kamala Harris,Tulsi Gabbard,2490
Eric Swalwell,Jay Inslee,2469
Beto O'Rourke,Michael Bennet,2466
Pete Buttigieg,Seth Moulton,2361
Elizabeth Warren,Seth Moulton,2360
Kamala Harris,Steve Bullock,2354
Julián Castro,Marianne Williamson,2344
Eric Swalwell,Kirsten Gillibrand,2298
Jay Inslee,Marianne Williamson,2255
Andrew Yang,Julián Castro,2252
Andrew Yang,Jay Inslee,2210
Marianne Williamson,Mike Gravel,2191
Kirsten Gillibrand,Marianne Williamson,2134
Eric Swalwell,Michael Bennet,2056
Jay Inslee,Tulsi Gabbard,2035
Julián Castro,Steve Bullock,2035
Jay Inslee,Steve Bullock,2025
Bernie Sanders,Michael Bennet,1978
Joe Biden,Steve Bullock,1971
Cory Booker,Marianne Williamson,1969
Amy Klobuchar,Steve Bullock,1935
Andrew Yang,Beto O'Rourke,1875
Andrew Yang,Cory Booker,1798
Michael Bennet,Steve Bullock,1759
Kamala Harris,Seth Moulton,1715
Mike Gravel,Pete Buttigieg,1699
Cory Booker,Steve Bullock,1658
Julián Castro,Tulsi Gabbard,1651
John Hickenlooper,Pete Buttigieg,1649
Julián Castro,Seth Moulton,1602
Bernie Sanders,Eric Swalwell,1584
Beto O'Rourke,Marianne Williamson,1573
John Hickenlooper,Michael Bennet,1499
Kirsten Gillibrand,Tulsi Gabbard,1494
Jay Inslee,Mike Gravel,1480
Cory Booker,Seth Moulton,1473
Joe Biden,Seth Moulton,1420
Beto O'Rourke,Steve Bullock,1412
Jay Inslee,Seth Moulton,1397
Pete Buttigieg,Tim Ryan,1395
Andrew Yang,Kirsten Gillibrand,1372
Bernie Sanders,Steve Bullock,1371
Joe Biden,Marianne Williamson,1348
Elizabeth Warren,John Hickenlooper,1307
Elizabeth Warren,Tim Ryan,1295
Amy Klobuchar,Marianne Williamson,1287
Kirsten Gillibrand,Steve Bullock,1265
John Hickenlooper,Kamala Harris,1257
Kirsten Gillibrand,Seth Moulton,1253
Amy Klobuchar,Tulsi Gabbard,1237
Cory Booker,Tulsi Gabbard,1232
Michael Bennet,Seth Moulton,1219
Amy Klobuchar,Seth Moulton,1189
Amy Klobuchar,John Hickenlooper,1182
Andrew Yang,Joe Biden,1126
Amy Klobuchar,Andrew Yang,1122
Kamala Harris,Tim Ryan,1117
Bernie Sanders,Seth Moulton,1108
Jay Inslee,John Hickenlooper,1106
Beto O'Rourke,Seth Moulton,1091
Beto O'Rourke,Tulsi Gabbard,1045
John Delaney,Pete Buttigieg,1031
John Hickenlooper,Julián Castro,1018
Cory Booker,John Hickenlooper,1007
Joe Biden,John Hickenlooper,1005
Joe Biden,Tim Ryan,998
Bernie Sanders,Tim Ryan,974
Julián Castro,Tim Ryan,910
Eric Swalwell,Seth Moulton,910
Jay Inslee,Tim Ryan,902
Cory Booker,Tim Ryan,866
Eric Swalwell,Steve Bullock,861
Julián Castro,Mike Gravel,844
John Hickenlooper,Kirsten Gillibrand,791
Amy Klobuchar,Tim Ryan,767
Joe Biden,Tulsi Gabbard,745
Seth Moulton,Steve Bullock,738
Amy Klobuchar,John Delaney,714
Beto O'Rourke,Tim Ryan,702
Beto O'Rourke,John Hickenlooper,675
Elizabeth Warren,John Delaney,653
Marianne Williamson,Michael Bennet,649
Marianne Williamson,Tim Ryan,648
Michael Bennet,Tim Ryan,631
Bernie Sanders,John Hickenlooper,615
Kirsten Gillibrand,Mike Gravel,610
John Delaney,Julián Castro,606
Kirsten Gillibrand,Tim Ryan,588
Joe Biden,John Delaney,585
John Delaney,Kamala Harris,585
Jay Inslee,John Delaney,584
Andrew Yang,Michael Bennet,568
John Hickenlooper,Steve Bullock,558
Andrew Yang,Eric Swalwell,549
Eric Swalwell,Marianne Williamson,539
Kamala Harris,Mike Gravel,528
Cory Booker,John Delaney,519
Steve Bullock,Tim Ryan,474
Bill de Blasio,Elizabeth Warren,467
John Delaney,Kirsten Gillibrand,455
Eric Swalwell,Tim Ryan,448
Beto O'Rourke,John Delaney,409
Seth Moulton,Tim Ryan,407
Eric Swalwell,John Hickenlooper,396
Michael Bennet,Tulsi Gabbard,388
Bernie Sanders,Bill de Blasio,386
Andrew Yang,Steve Bullock,382
John Hickenlooper,Seth Moulton,382
John Delaney,Michael Bennet,378
Cory Booker,Mike Gravel,375
Andrew Yang,Seth Moulton,373
Bill de Blasio,Kamala Harris,370
Steve Bullock,Tulsi Gabbard,369
Eric Swalwell,Tulsi Gabbard,368
Andrew Yang,John Hickenlooper,358
Bernie Sanders,John Delaney,358
Beto O'Rourke,Mike Gravel,356
Marianne Williamson,Steve Bullock,350
Marianne Williamson,Seth Moulton,349
Andrew Yang,Tim Ryan,337
