candidate_x,candidate_y,candidate_z,count
Elizabeth Warren,Kamala Harris,Pete Buttigieg,18675
Elizabeth Warren,Julián Castro,Kamala Harris,12458
Cory Booker,Elizabeth Warren,Kamala Harris,10823
Elizabeth Warren,Julián Castro,Pete Buttigieg,9469
Julián Castro,Kamala Harris,Pete Buttigieg,9287
Bernie Sanders,Elizabeth Warren,Kamala Harris,9058
Elizabeth Warren,Kamala Harris,Kirsten Gillibrand,9000
Bernie Sanders,Elizabeth Warren,Pete Buttigieg,8345
Amy Klobuchar,Elizabeth Warren,Kamala Harris,8100
Cory Booker,Kamala Harris,Pete Buttigieg,8098
Cory Booker,Julián Castro,Kamala Harris,7687
Beto O'Rourke,Kamala Harris,Pete Buttigieg,7504
Cory Booker,Elizabeth Warren,Pete Buttigieg,7385
Cory Booker,Elizabeth Warren,Julián Castro,7353
Beto O'Rourke,Elizabeth Warren,Kamala Harris,7033
Beto O'Rourke,Elizabeth Warren,Pete Buttigieg,6979
Bernie Sanders,Mike Gravel,Tulsi Gabbard,6761
Elizabeth Warren,Joe Biden,Kamala Harris,6602
Joe Biden,Kamala Harris,Pete Buttigieg,6427
Amy Klobuchar,Kamala Harris,Pete Buttigieg,6206
Elizabeth Warren,Jay Inslee,Kamala Harris,6069
Cory Booker,Julián Castro,Pete Buttigieg,5858
Elizabeth Warren,Kirsten Gillibrand,Pete Buttigieg,5464
Amy Klobuchar,Elizabeth Warren,Pete Buttigieg,5417
Elizabeth Warren,Jay Inslee,Pete Buttigieg,5384
Elizabeth Warren,Julián Castro,Kirsten Gillibrand,5256
Elizabeth Warren,Joe Biden,Pete Buttigieg,5095
Bernie Sanders,Elizabeth Warren,Jay Inslee,5030
Kamala Harris,Kirsten Gillibrand,Pete Buttigieg,4814
Amy Klobuchar,Julián Castro,Kamala Harris,4793
Elizabeth Warren,Jay Inslee,Julián Castro,4707
Amy Klobuchar,Cory Booker,Kamala Harris,4593
Julián Castro,Kamala Harris,Kirsten Gillibrand,4584
Bernie Sanders,Elizabeth Warren,Julián Castro,4571
Amy Klobuchar,Elizabeth Warren,Julián Castro,4571
Cory Booker,Elizabeth Warren,Kirsten Gillibrand,4570
Bernie Sanders,Kamala Harris,Pete Buttigieg,4405
Cory Booker,Kamala Harris,Kirsten Gillibrand,4288
Bernie Sanders,Cory Booker,Elizabeth Warren,4242
Amy Klobuchar,Cory Booker,Elizabeth Warren,4169
Amy Klobuchar,Kamala Harris,Kirsten Gillibrand,4151
Amy Klobuchar,Elizabeth Warren,Kirsten Gillibrand,4097
Cory Booker,Joe Biden,Kamala Harris,4084
Bernie Sanders,Elizabeth Warren,Tulsi Gabbard,4067
Beto O'Rourke,Joe Biden,Pete Buttigieg,4058
Jay Inslee,Kamala Harris,Pete Buttigieg,3974
Beto O'Rourke,Joe Biden,Kamala Harris,3924
Amy Klobuchar,Julián Castro,Pete Buttigieg,3888
Beto O'Rourke,Julián Castro,Kamala Harris,3852
Amy Klobuchar,Cory Booker,Julián Castro,3837
Beto O'Rourke,Elizabeth Warren,Julián Castro,3819
Joe Biden,Julián Castro,Kamala Harris,3769
Bernie Sanders,Beto O'Rourke,Elizabeth Warren,3711
Cory Booker,Elizabeth Warren,Jay Inslee,3698
Beto O'Rourke,Julián Castro,Pete Buttigieg,3639
Cory Booker,Julián Castro,Kirsten Gillibrand,3628
Beto O'Rourke,Cory Booker,Kamala Harris,3614
Jay Inslee,Julián Castro,Kamala Harris,3562
Amy Klobuchar,Cory Booker,Pete Buttigieg,3481
Bernie Sanders,Elizabeth Warren,Mike Gravel,3478
Cory Booker,Elizabeth Warren,Joe Biden,3411
Bernie Sanders,Elizabeth Warren,Kirsten Gillibrand,3302
Elizabeth Warren,Joe Biden,Julián Castro,3284
Andrew Yang,Bernie Sanders,Tulsi Gabbard,3246
Julián Castro,Kirsten Gillibrand,Pete Buttigieg,3201
Amy Klobuchar,Joe Biden,Kamala Harris,3201
Jay Inslee,Julián Castro,Pete Buttigieg,3188
Cory Booker,Jay Inslee,Kamala Harris,3169
Elizabeth Warren,Jay Inslee,Kirsten Gillibrand,3165
Beto O'Rourke,Cory Booker,Elizabeth Warren,3156
Joe Biden,Julián Castro,Pete Buttigieg,3150
Cory Booker,Jay Inslee,Julián Castro,3105
Beto O'Rourke,Cory Booker,Pete Buttigieg,3059
Beto O'Rourke,Elizabeth Warren,Joe Biden,3058
Bernie Sanders,Cory Booker,Kamala Harris,3031
Amy Klobuchar,Joe Biden,Pete Buttigieg,2944
Cory Booker,Joe Biden,Pete Buttigieg,2936
Cory Booker,Joe Biden,Julián Castro,2871
Cory Booker,Kirsten Gillibrand,Pete Buttigieg,2858
Bernie Sanders,Elizabeth Warren,Joe Biden,2850
Amy Klobuchar,Elizabeth Warren,Jay Inslee,2732
Bernie Sanders,Beto O'Rourke,Pete Buttigieg,2720
Amy Klobuchar,Julián Castro,Kirsten Gillibrand,2713
Bernie Sanders,Julián Castro,Kamala Harris,2707
Andrew Yang,Bernie Sanders,Elizabeth Warren,2680
Amy Klobuchar,Cory Booker,Kirsten Gillibrand,2666
Amy Klobuchar,Elizabeth Warren,Joe Biden,2666
Elizabeth Warren,Eric Swalwell,Kamala Harris,2662
Bernie Sanders,Beto O'Rourke,Kamala Harris,2616
Amy Klobuchar,Beto O'Rourke,Pete Buttigieg,2587
Amy Klobuchar,Beto O'Rourke,Kamala Harris,2573
Cory Booker,Jay Inslee,Pete Buttigieg,2526
Beto O'Rourke,Cory Booker,Julián Castro,2468
Amy Klobuchar,Jay Inslee,Kamala Harris,2462
Amy Klobuchar,Kirsten Gillibrand,Pete Buttigieg,2395
Bernie Sanders,Julián Castro,Pete Buttigieg,2351
Bernie Sanders,Elizabeth Warren,Marianne Williamson,2326
Jay Inslee,Kamala Harris,Kirsten Gillibrand,2319
Elizabeth Warren,Eric Swalwell,Pete Buttigieg,2304
Amy Klobuchar,Jay Inslee,Julián Castro,2299
Eric Swalwell,Kamala Harris,Pete Buttigieg,2269
Beto O'Rourke,Joe Biden,Julián Castro,2261
Elizabeth Warren,Kamala Harris,Michael Bennet,2258
Jay Inslee,Julián Castro,Kirsten Gillibrand,2257
Amy Klobuchar,Bernie Sanders,Elizabeth Warren,2227
Andrew Yang,Elizabeth Warren,Pete Buttigieg,2222
Amy Klobuchar,Beto O'Rourke,Elizabeth Warren,2216
Elizabeth Warren,Eric Swalwell,Julián Castro,2164
Joe Biden,Kamala Harris,Kirsten Gillibrand,2146
Bernie Sanders,Cory Booker,Julián Castro,2141
Amy Klobuchar,Jay Inslee,Pete Buttigieg,2134
